date,avg_distance,avg_fare,total_revenue,avg_duration
2008-12-31,17.76,70.0,80.55,927.4833333333333
2022-10-25,1.7966666666666669,48.166666666666664,332.26,4.597222222222222
2022-12-31,3.312,16.628,658.23,12.208666666666666
2023-01-01,5.229948465780445,21.496285507910713,2176391.68,17.517822366684726
2023-01-02,4.611308100615855,21.842325127187387,1958188.99,16.302130027773842
2023-01-03,4.050897997724136,19.85254981478343,2387931.32,16.521291431615136
2023-01-04,3.588995067347583,18.834623299977135,2545163.53,16.24964121214761
2023-01-05,3.5193575095553804,18.196482697845045,2629559.88,16.041143298254244
2023-01-06,3.257179632077661,17.634439387670668,2606517.64,15.478803932846942
2023-01-07,3.2822867001563067,17.40619594388683,2568103.34,14.906672532269004
2023-01-08,4.007753883931827,19.617785125574382,2318428.29,14.855871078586306
2023-01-09,3.7508977556109726,18.706057174137825,2279563.06,15.34983009954788
2023-01-10,3.206231767115635,17.50244274098442,2535753.07,15.009527307084875
2023-01-11,3.1433946669003183,17.281428390626672,2671800.14,15.140341585780996
2023-01-12,3.6029287732230726,18.294193249639843,2921961.46,16.506317704727874
2023-01-13,3.4682307591426857,18.559482257943646,2966831.54,16.492586399630294
2023-01-14,3.2484614328598624,17.663958943476352,2814618.54,15.536261714745937
2023-01-15,3.620011449238144,18.485074366546826,2505027.06,14.857874115448269
2023-01-16,4.034168519284458,19.709976476062455,2212347.05,15.411519835935614
2023-01-17,3.475658800090373,18.62131462197301,2704272.61,15.996768986930118
2023-01-18,3.4214365996902787,17.935201854431057,2758963.57,15.937167350066069
2023-01-19,3.140777256271717,17.760630628172244,2923981.89,16.840375484363914
2023-01-20,3.2885233408031467,17.793702190830093,2817799.97,16.098688370099314
2023-01-21,3.066349966770049,16.820830471865307,2662562.05,14.705149104022055
2023-01-22,3.729385502623489,18.771953632434183,2356941.12,14.988935695629058
2023-01-23,3.5536022781205503,18.08297347980599,2335345.42,14.971343682112662
2023-01-24,3.1020776376181045,17.377996734401293,2627850.0,15.400930562884348
2023-01-25,2.9325417315611952,16.94530504409643,2681891.09,15.668314908064756
2023-01-26,3.3023529252290844,17.943041443004574,2980671.15,16.17412432901372
2023-01-27,3.259998516224161,17.658507228770414,2863164.56,16.057966948893196
2023-01-28,3.0513621441157377,16.909906519521467,2662698.0,15.520443135800178
2023-01-29,3.768105721685896,18.86424440781728,2323088.47,14.998701632524918
2023-01-30,3.5463201598689276,18.543834495941216,2221659.45,15.604441079363502
2023-01-31,3.2159481314499616,17.777597460343724,2567490.72,16.16720610234456
2023-02-01,4.5729999999999995,22.02,313.81,14.676666666666666
